,date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
157,2022-10-13 00:00:00,1662.3,1671.61,1639.81,1643.73,1670,3311,729,-18.57,-1.12,1656.49,"October 13, 22",-0.0112
158,2022-10-12 00:00:00,1673.54,1682.21,1642.83,1662.81,1670.300049,3610,149,-10.73,-0.64116,1667.23,"October 12, 22",-0.0064116
159,2022-10-11 00:00:00,1664.65,1678.21,1661.01,1674.38,1678.699951,3622,167,9.73,0.58451,1669.51,"October 11, 22",0.0058451
160,2022-10-10 00:00:00,1669.86,1683.93,1660.3,1663.9,1667.300049,3631,195,-5.96,-0.35692,1668.54,"October 10, 22",-0.0035692
161,2022-10-07 00:00:00,1710.099976,1710.099976,1693.699951,1700.5,1700.5,179,179,-9.59998,-0.56137,1701.43,"October 07, 22",-0.0056137
162,2022-10-06 00:00:00,1711.88,1714.76,1689.34,1693.7,1711.699951,3303,133,-18.18,-1.06,1706.01,"October 06, 22",-0.0106
163,2022-10-05 00:00:00,1718.34,1725.24,1706.81,1711.42,1711.400024,3643,418,-6.92,-0.40271,1716.32,"October 05, 22",-0.0040271
164,2022-10-04 00:00:00,1724.84,1727.4,1700.1,1718.28,1721.099976,3636,291,-6.56,-0.38033,1714.85,"October 04, 22",-0.0038033
165,2022-10-03 00:00:00,1700.8,1729.1,1694.41,1725.54,1692.900024,3647,410,24.74,1.45,1711.27,"October 03, 22",0.0145
166,2022-09-30 00:00:00,1661.699951,1672.699951,1658,1662.400024,1662.400024,548,548,0.700073,0.04212993,1664.37,"September 30, 22",0.0004212993
167,2022-09-29 00:00:00,1664.67,1675.01,1658.61,1659.6,1658.5,3253,6028,-5.07,-0.30456,1665.75,"September 29, 22",-0.0030456
168,2022-09-28 00:00:00,1656.23,1665.14,1641.16,1663.41,1660.400024,3509,18311,7.18,0.43351,1653.64,"September 28, 22",0.0043351
